kod,pozycja
1000603,1192
1000604,1256
1000606,1178
1000609,1168
1000610,1169
1000611,1170
1000612,1196
1000614,1225
1000617,2053
1000621,1176
1000623,1218
1000624,2054
1000625,2270
1000627,1175
1000628,1217
1000630,1171
1000631,1197
1000633,2055
1000634,2240
1000635,2056
1000646,2057
1000647,1221
1000650,1200
1000652,1289
1000654,1167
1000657,10737
1000660,1213
1000661,1212
1000663,2058
1000664,2059
1000665,1214
1000675,1219
1000676,10736
1000677,1283
1000679,1204
1000680,2060
1000682,1198
1000683,2061
1000684,2062
1000687,2063
1000688,1188
1000689,1302
1000691,10735
1000692,1301
1000694,1299
1000699,1248
1000700,1245
1000701,10734
1000702,1249
1000703,1287
1000704,1303
1000705,2064
1000706,1215
1000707,2065
1000709,1194
1000711,1174
1000712,1291
1000713,1284
1000715,2066
1000716,2067
1000718,1228
1000720,1252
1000724,1224
1000727,1210
1000730,1307
1000731,1306
1000736,1251
1000737,1236
1000738,1250
1000740,2068
1000742,1211
1000744,2069
1000745,2070
1000746,1227
1000752,1240
1000756,1300
1000762,1025
1000763,1216
1000767,1220
1000773,2071
1000776,1285
1000784,1229
1000785,2234
1000787,1226
1000788,1223
1000792,2072
1000798,1281
1000799,1286
1000800,2157
1000802,9506
1000804,2110
1000806,2111
1000807,1293
1000808,1264
1000809,2073
1000810,9505
1000813,1262
1000814,9504
1000815,9503
1000816,1263
1000817,9502
1000819,1239
1000820,1241
1000825,1238
1000827,1231
1000828,1242
1000830,10733
1000831,2074
1000832,2075
1000834,1288
1000835,2076
1000837,1292
1000838,2077
1000841,1295
1000842,2078
1000843,1266
1000844,1268
1000845,1265
1000846,1267
1000849,1237
1000850,1244
1000852,1296
1000853,1294
1000855,10732
1000858,1232
1000860,1233
1000868,1031
1000869,1032
1000870,1253
1000872,1243
1000873,1275
1000874,1298
1000875,1019
1000876,2079
1000881,2080
1000882,2081
1000883,1279
1000884,2082
1000887,2187
1000889,1297
1000890,2083
1000891,1282
1000892,1280
1000895,2084
1000896,1274
1000899,2085
1000900,2410
1000901,2411
1000902,2412
1000903,2413
1000904,1247
1000905,1246
1000906,2414
1000907,2415
1000908,2416
1000909,2417
1000910,2418
1000911,2419
1000912,2420
1000913,2421
1000914,2422
1000915,2423
1000916,2424
1000917,2425
1000918,2426
1000919,2427
1000920,2428
1000921,2086
1000922,2429
1000923,2430
1000924,2431
1000925,1017
1000926,2432
1000927,2433
1000928,2434
1000929,2435
1000930,2436
1000931,2179
1000932,1260
1000933,2437
1000934,2438
1000935,2439
1000936,2440
1000937,2441
1000938,2442
1000939,2443
1000940,2444
1000941,2445
1000942,2446
1000943,2447
1000944,2087
1000945,2448
1000946,2088
1000947,2089
1000948,2449
1000949,2450
1000950,2451
1000951,1259
1000952,2112
1000953,2113
1000954,1258
1000955,1257
1000956,2452
1000957,2453
1000958,2454
1000959,2455
1000960,2114
1000961,1254
1000962,2456
1000963,2457
1000964,1270
1000965,2131
1000966,2458
1000967,2459
1000968,2460
1000969,2090
1000970,2461
1000971,2091
1000972,2462
1000973,2463
1000974,2464
1000975,2465
1000976,2466
1000977,2115
1000978,2467
1000979,2468
1000980,1261
1000981,2469
1000982,2470
1000983,2471
1000984,2472
1000985,2473
1000986,1277
1000987,2474
1000988,2475
1000989,2476
1000990,2477
1000991,2478
1000992,2479
1000993,2480
1000994,2481
1000995,2482
1000996,2483
1000997,1271
1000998,2484
1000999,2485
1001000,2486
1001001,2487
1001002,2488
1001003,2489
1001004,1255
1001005,2490
1001006,2301
1001007,2491
1001008,2241
1001009,2242
1001010,2492
1001011,2493
1001012,2153
1001013,2494
1001014,2495
1001015,2496
1001016,1276
1001017,2497
1001018,2498
1001019,2499
1001020,2500
1001021,2501
1001022,2502
1001023,2231
1001024,2503
1001025,2092
1001026,2504
1001027,2505
1001028,2271
1001029,2506
1001030,2507
1001031,2508
1001032,2134
1001033,2509
1001034,2093
1001035,2510
1001036,2511
1001037,2512
1001038,2513
1001039,2094
1001040,2514
1001041,2515
1001042,2116
1001043,2516
1001044,2517
1001045,2188
1001046,2518
1001047,2519
1001048,2520
1001049,2521
1001050,2522
1001051,2135
1001052,2523
1001053,2524
1001054,2525
1001055,2526
1001056,2527
1001057,2528
1001058,2529
1001059,2530
1001060,2531
1001061,2532
1001062,2533
1001063,2534
1001064,2154
1001065,2535
1001066,2536
1001067,2537
1001068,2538
1001069,2182
1001070,2539
1001071,2540
1001072,2183
1001073,2541
1001074,2542
1001075,2543
1001076,2544
1001077,1273
1001078,2545
1001079,2546
1001080,2547
1001081,2095
1001082,2548
1001083,2549
1001084,1272
1001085,2107
1001086,2550
1001087,2117
1001088,2551
1001089,2552
1001090,2553
1001091,2554
1001092,1269
1001093,2555
1001094,2556
1001095,2557
1001096,2558
1001097,2559
1001098,2560
1001099,2561
1001100,2562
1001101,2563
1001102,2564
1001103,2096
1001104,2097
1001105,2565
1001106,2098
1001107,2229
1001108,2566
1001109,2567
1001110,2568
1001111,2569
1001112,2570
1001113,2571
1001114,2572
1001115,2118
1001116,2573
1001117,2574
1001118,2575
1001119,2576
1001120,2577
1001121,2578
1001122,2579
1001123,2580
1001124,2581
1001125,2178
1001126,2582
1001127,2243
1001128,2583
1001129,2584
1001130,2585
1001131,2586
1001132,2587
1001133,2588
1001134,2589
1001135,2244
1001136,2590
1001137,2119
1001138,2208
1001139,2591
1001140,2592
1001141,2593
1001142,1195
1001143,2594
1001144,2151
1001145,2099
1001146,2136
1001147,2595
1001148,2596
1001149,2597
1001150,2598
1001151,2599
1001152,2600
1001153,2601
1001154,2602
1001155,2603
1001156,2604
1001157,2605
1001158,2606
1001159,2607
1001160,2608
1001161,2609
1001162,2610
1001163,2611
1001164,2292
1001165,2245
1001166,2612
1001167,2106
1001168,2613
1001169,2246
1001170,2614
1001171,2615
1001172,2616
1001173,2617
1001174,2247
1001175,2248
1001176,2618
1001177,2619
1001178,2184
1001179,2620
1001180,2621
1001181,2622
1001182,2623
1001183,2624
1001184,2625
1001185,2626
1001186,2627
1001187,2628
1001188,2629
1001189,2630
1001190,1039
1001191,1040
1001192,2631
1001193,2632
1001194,2633
1001195,2634
1001196,2635
1001197,2636
1001198,2637
1001199,2210
1001200,2638
1001201,2639
1001202,1024
1001203,2640
1001204,1023
1001205,2158
1001206,2189
1001207,2641
1001208,2642
1001209,1043
1001210,1044
1001211,2643
1001212,2644
1001213,2132
1001214,2645
1001215,2646
1001216,2647
1001217,2648
1001218,2649
1001219,2108
1001220,2650
1001221,2120
1001222,2651
1001223,2652
1001224,2653
1001225,2654
1001226,2655
1001227,2656
1001228,2657
1001229,2658
1001230,2121
1001231,2122
1001232,2659
1001233,2660
1001234,2137
1001235,2123
1001236,2661
1001237,2662
1001238,2663
1001239,2109
1001240,2664
1001241,2665
1001242,2666
1001243,2302
1001244,2667
1001245,2668
1001246,2669
1001247,2670
1001248,2671
1001249,2672
1001250,2673
1001251,2674
1001252,2675
1001253,2676
1001254,2677
1001255,2190
1001256,2272
1001257,2191
1001258,2678
1001259,2679
1001260,2680
1001261,2138
1001262,2681
1001263,2682
1001264,2683
1001265,2684
1001266,2685
1001267,2686
1001268,2211
1001269,2687
1001270,2688
1001271,2689
1001272,2690
1001273,2691
1001274,2249
1001275,2692
1001276,2693
1001277,2694
1001278,2192
1001279,2695
1001280,2696
1001281,2697
1001282,2698
1001283,2699
1001284,2700
1001285,2701
1001286,2303
1001287,2702
1001288,2703
1001289,2704
1001290,2705
1001291,2706
1001292,2707
1001293,2708
1001294,2304
1001295,2709
1001296,2403
1001297,2710
1001298,2711
1001299,2712
1001300,2713
1001301,2714
1001302,2715
1001303,2716
1001304,2717
1001305,2718
1001306,2719
1001307,2720
1001308,2721
1001309,2722
1001310,2212
1001311,2723
1001312,2724
1001313,2725
1001314,2726
1001315,2727
1001316,2728
1001317,2729
1001318,2730
1001319,2731
1001320,2732
1001321,2733
1001322,2734
1001323,2735
1001324,2736
1001325,2737
1001326,2738
1001327,2159
1001328,2266
1001329,2267
1001330,2739
1001331,2305
1001332,2237
1001333,2293
1001334,2193
1001335,2194
1001336,2740
1001337,2741
1001338,2306
1001339,2139
1001340,2213
1001341,2742
1001342,2743
1001343,2744
1001344,2745
1001345,2746
1001346,2747
1001347,2748
1001348,2749
1001349,2750
1001350,2751
1001351,2752
1001352,2753
1001353,2754
1001354,2755
1001355,2756
1001356,2757
1001357,2273
1001358,2758
1001359,2759
1001360,2307
1001361,2760
1001362,2761
1001363,2762
1001364,2274
1001365,2763
1001366,2275
1001367,2764
1001368,2765
1001369,2766
1001370,2767
1001371,2124
1001372,2768
1001373,2769
1001374,2770
1001375,2771
1001376,2772
1001377,1026
1001378,2773
1001379,2774
1001380,2775
1001381,2776
1001382,2214
1001383,2777
1001384,2778
1001385,2308
1001386,2779
1001387,2160
1001388,2161
1001389,2780
1001390,2781
1001391,2276
1001392,2782
1001393,2783
1001394,2784
1001395,2785
1001396,2786
1001397,2787
1001398,2788
1001399,2789
1001400,2790
1001401,2791
1001402,2792
1001403,2793
1001404,2794
1001405,2795
1001406,2796
1001407,2797
1001408,2798
1001409,2799
1001410,2800
1001411,2133
1001412,2801
1001413,2802
1001414,2803
1001415,2804
1001416,2805
1001417,2806
1001418,2185
1001419,2807
1001420,2808
1001421,2809
1001422,2810
1001423,2811
1001424,2812
1001425,2813
1001426,2814
1001427,2250
1001428,2815
1001429,2816
1001430,2140
1001431,2817
1001432,2818
1001433,2819
1001434,2820
1001435,2821
1001436,2822
1001437,2823
1001438,2824
1001439,2309
1001440,2825
1001441,2826
1001442,2827
1001443,2828
1001444,2829
1001445,2830
1001446,2831
1001447,2832
1001448,2833
1001449,2834
1001450,2835
1001451,2836
1001452,2837
1001453,2838
1001454,2839
1001455,2840
1001456,2841
1001457,2842
1001458,2277
1001459,2843
1001460,2844
1001461,2845
1001462,2846
1001463,2278
1001464,2847
1001465,2195
1001466,2848
1001467,2849
1001468,2850
1001469,2851
1001470,2852
1001471,2853
1001472,2854
1001473,2855
1001474,2856
1001475,2857
1001476,2858
1001477,2859
1001478,2860
1001479,2861
1001480,2862
1001481,2863
1001482,2864
1001483,2865
1001484,2866
1001485,2867
1001486,2868
1001487,2869
1001488,2870
1001489,2162
1001490,2871
1001491,2163
1001492,2872
1001493,2873
1001494,2874
1001495,2875
1001496,2876
1001497,2877
1001498,2125
1001499,2164
1001500,2878
1001501,2879
1001502,2880
1001503,2881
1001504,2882
1001505,2883
1001506,2884
1001507,2885
1001508,2886
1001509,2887
1001510,2279
1001511,2888
1001512,2889
1001513,2890
1001514,2891
1001515,2892
1001516,2893
1001517,2165
1001518,2149
1001519,2894
1001520,2895
1001521,2896
1001522,2150
1001523,2897
1001524,2141
1001525,2898
1001526,2899
1001527,2900
1001528,2901
1001529,2902
1001530,2903
1001531,2904
1001532,2905
1001533,2906
1001534,2907
1001535,2280
1001536,2281
1001537,2908
1001538,2909
1001539,2910
1001540,2911
1001541,2251
1001542,2126
1001543,2127
1001544,2252
1001545,2912
1001546,2913
1001547,2914
1001548,2915
1001549,2916
1001550,2917
1001551,2918
1001552,2142
1001553,2143
1001554,2919
1001555,2920
1001556,2921
1001557,2922
1001558,2923
1001559,2924
1001560,2925
1001561,2926
1001562,2927
1001563,2928
1001564,2929
1001565,2930
1001566,2931
1001567,2932
1001568,2933
1001569,2934
1001570,2935
1001571,2936
1001572,2937
1001573,2938
1001574,2939
1001575,2940
1001576,2941
1001577,2942
1001578,2144
1001579,2943
1001580,2944
1001581,2945
1001582,2946
1001583,2947
1001584,2948
1001585,2949
1001586,2950
1001587,2951
1001588,2952
1001589,2953
1001590,2954
1001591,2955
1001592,2956
1001593,2957
1001594,2958
1001595,2959
1001596,2960
1001597,2961
1001598,2962
1001599,2963
1001600,2964
1001601,2965
1001602,2966
1001603,2967
1001604,2128
1001605,2968
1001606,2969
1001607,2970
1001608,2971
1001609,2129
1001610,2972
1001611,2973
1001612,2974
1001613,2975
1001614,2976
1001615,2977
1001616,2978
1001617,2979
1001618,2980
1001619,2981
1001620,2982
1001621,2983
1001622,2238
1001623,2984
1001624,2985
1001625,2166
1001626,2986
1001627,2987
1001628,2988
1001629,2989
1001630,2990
1001631,2991
1001632,2992
1001633,2993
1001634,2994
1001635,2995
1001636,2996
1001637,2997
1001638,2998
1001639,2999
1001640,3000
1001641,3001
1001642,3002
1001643,3003
1001644,3004
1001645,3005
1001646,3006
1001647,3007
1001648,3008
1001649,3009
1001650,3010
1001651,3011
1001652,3012
1001653,3013
1001654,3014
1001655,3015
1001656,3016
1001657,3017
1001658,3018
1001659,2282
1001660,3019
1001661,3020
1001662,3021
1001663,3022
1001664,3023
1001665,3024
1001666,3025
1001667,3026
1001668,3027
1001669,3028
1001670,3029
1001671,3030
1001672,1027
1001673,3031
1001674,3032
1001675,2294
1001676,2295
1001677,2296
1001678,3033
1001679,3034
1001680,3035
1001681,3036
1001682,3037
1001683,3038
1001684,3039
1001685,3040
1001686,3041
1001687,3042
1001688,3043
1001689,3044
1001690,3045
1001691,2310
1001692,3046
1001693,3047
1001694,3048
1001695,3049
1001696,3050
1001697,3051
1001698,3052
1001699,3053
1001700,3054
1001701,3055
1001702,3056
1001703,3057
1001704,3058
1001705,3059
1001706,3060
1001707,3061
1001708,3062
1001709,3063
1001710,3064
1001711,3065
1001712,3066
1001713,3067
1001714,3068
1001715,2167
1001716,3069
1001717,3070
1001718,3071
1001719,3072
1001720,3073
1001721,3074
1001722,3075
1001723,2148
1001724,3076
1001725,3077
1001726,3078
1001727,3079
1001728,3080
1001729,3081
1001730,3082
1001731,3083
1001732,3084
1001733,3085
1001734,3086
1001735,3087
1001736,3088
1001737,3089
1001738,3090
1001739,3091
1001740,3092
1001741,3093
1001742,3094
1001743,3095
1001744,3096
1001745,3097
1001746,3098
1001747,3099
1001748,3100
1001749,3101
1001750,3102
1001751,3103
1001752,3104
1001753,2180
1001754,3105
1001755,3106
1001756,3107
1001757,3108
1001758,3109
1001759,3110
1001760,3111
1001761,3112
1001762,3113
1001763,3114
1001764,3115
1001765,3116
1001766,3117
1001767,3118
1001768,2215
1001769,3119
1001770,2168
1001771,3120
1001772,3121
1001773,3122
1001774,3123
1001775,3124
1001776,3125
1001777,3126
1001778,3127
1001779,3128
1001780,3129
1001781,3130
1001782,3131
1001783,3132
1001784,3133
1001785,3134
1001786,3135
1001787,2196
1001788,2216
1001789,3136
1001790,3137
1001791,3138
1001792,2145
1001793,3139
1001794,3140
1001795,3141
1001796,3142
1001797,3143
1001798,3144
1001799,3145
1001800,3146
1001801,3147
1001802,3148
1001803,3149
1001804,2253
1001805,2291
1001806,3150
1001807,3151
1001808,3152
1001809,3153
1001810,3154
1001811,3155
1001812,3156
1001813,3157
1001814,3158
1001815,3159
1001816,3160
1001817,3161
1001818,3162
1001819,3163
1001820,3164
1001821,3165
1001822,3166
1001823,3167
1001824,3168
1001825,3169
1001826,3170
1001827,3171
1001828,3172
1001829,3173
1001830,2254
1001831,2255
1001832,3174
1001833,3175
1001834,2209
1001835,3176
1001836,3177
1001837,3178
1001838,3179
1001839,3180
1001840,3181
1001841,3182
1001842,3183
1001843,3184
1001844,2311
1001845,3185
1001846,3186
1001847,3187
1001848,3188
1001849,2312
1001850,3189
1001851,3190
1001852,3191
1001853,3192
1001854,3193
1001855,3194
1001856,3195
1001857,3196
1001858,3197
1001859,3198
1001860,2169
1001861,3199
1001862,3200
1001863,3201
1001864,3202
1001865,3203
1001866,3204
1001867,3205
1001868,3206
1001869,3207
1001870,3208
1001871,3209
1001872,3210
1001873,3211
1001874,3212
1001875,3213
1001876,3214
1001877,3215
1001878,3216
1001879,3217
1001880,3218
1001881,3219
1001882,3220
1001883,3221
1001884,3222
1001885,3223
1001886,3224
1001887,3225
1001888,3226
1001889,3227
1001890,3228
1001891,3229
1001892,3230
1001893,3231
1001894,2197
1001895,2217
1001896,3232
1001897,3233
1001898,3234
1001899,3235
1001900,3236
1001901,3237
1001902,3238
1001903,3239
1001904,3240
1001905,3241
1001906,3242
1001907,3243
1001908,3244
1001909,3245
1001910,3246
1001911,3247
1001912,3248
1001913,3249
1001914,3250
1001915,3251
1001916,3252
1001917,3253
1001918,3254
1001919,3255
1001920,3256
1001921,3257
1001922,3258
1001923,3259
1001924,3260
1001925,3261
1001926,2181
1001927,3262
1001928,3263
1001929,3264
1001930,3265
1001931,3266
1001932,3267
1001933,3268
1001934,3269
1001935,3270
1001936,3271
1001937,3272
1001938,3273
1001939,3274
1001940,3275
1001941,3276
1001942,3277
1001943,3278
1001944,3279
1001945,3280
1001946,3281
1001947,3282
1001948,2404
1001949,3283
1001950,3284
1001951,3285
1001952,2268
1001953,3286
1001954,3287
1001955,3288
1001956,3289
1001957,3290
1001958,3291
1001959,3292
1001960,2146
1001961,3293
1001962,3294
1001963,3295
1001964,3296
1001965,3297
1001966,3298
1001967,3299
1001968,3300
1001969,3301
1001970,3302
1001971,3303
1001972,3304
1001973,3305
1001974,3306
1001975,3307
1001976,3308
1001977,3309
1001978,3310
1001979,3311
1001980,3312
1001981,3313
1001982,3314
1001983,3315
1001984,3316
1001985,3317
1001986,3318
1001987,3319
1001988,3320
1001989,3321
1001990,3322
1001991,3323
1001992,3324
1001993,3325
1001994,3326
1001995,3327
1001996,3328
1001997,3329
1001998,3330
1001999,3331
1002000,3332
1002001,3333
1002002,3334
1002003,3335
1002004,3336
1002005,3337
1002006,3338
1002007,3339
1002008,3340
1002009,3341
1002010,3342
1002011,1000
1002012,3343
1002013,1001
1002014,3344
1002015,3345
1002016,3346
1002017,3347
1002018,3348
1002019,3349
1002020,3350
1002021,3351
1002022,3352
1002023,3353
1002024,2170
1002025,3354
1002026,2147
1002027,3355
1002028,3356
1002029,3357
1002030,3358
1002031,3359
1002032,3360
1002033,3361
1002034,3362
1002035,3363
1002036,3364
1002037,3365
1002038,3366
1002039,3367
1002040,3368
1002041,3369
1002042,3370
1002043,3371
1002044,3372
1002045,3373
1002046,3374
1002047,3375
1002048,3376
1002049,3377
1002050,3378
1002051,3379
1002052,3380
1002053,3381
1002054,3382
1002055,3383
1002056,3384
1002057,1002
1002058,3385
1002059,1013
1002060,2171
1002061,1014
1002062,3386
1002063,2172
1002064,3387
1002065,3388
1002066,3389
1002067,3390
1002068,2327
1002069,3391
1002070,3392
1002071,3393
1002072,3394
1002073,3395
1002074,3396
1002075,3397
1002076,3398
1002077,3399
1002078,2367
1002079,3400
1002080,3401
1002081,3402
1002082,3403
1002083,3404
1002084,3405
1002085,3406
1002086,3407
1002087,3408
1002088,3409
1002089,3410
1002090,3411
1002091,3412
1002092,3413
1002093,3414
1002094,3415
1002095,3416
1002096,3417
1002097,3418
1002098,3419
1002099,3420
1002100,3421
1002101,3422
1002102,3423
1002103,3424
1002104,3425
1002105,3426
1002106,3427
1002107,3428
1002108,3429
1002109,3430
1002110,3431
1002111,3432
1002112,2173
1002113,2156
1002114,2198
1002115,3433
1002116,3434
1002117,3435
1002118,3436
1002119,3437
1002120,3438
1002121,3439
1002122,3440
1002123,3441
1002124,3442
1002125,3443
1002126,3444
1002127,3445
1002128,3446
1002129,2174
1002130,3447
1002131,3448
1002132,3449
1002133,3450
1002134,3451
1002135,3452
1002136,3453
1002137,3454
1002138,3455
1002139,3456
1002140,3457
1002141,3458
1002142,3459
1002143,3460
1002144,3461
1002145,2297
1002146,3462
1002147,3463
1002148,3464
1002149,3465
1002150,3466
1002151,3467
1002152,3468
1002153,3469
1002154,3470
1002155,2328
1002156,2329
1002157,3471
1002158,3472
1002159,3473
1002160,3474
1002161,3475
1002162,3476
1002163,3477
1002164,3478
1002165,3479
1002166,3480
1002167,3481
1002168,3482
1002169,3483
1002170,3484
1002171,3485
1002172,3486
1002173,3487
1002174,3488
1002175,3489
1002176,1029
1002177,3490
1002178,3491
1002179,3492
1002180,3493
1002181,3494
1002182,1028
1002183,3495
1002184,3496
1002185,2130
1002186,3497
1002187,3498
1002188,3499
1002189,3500
1002190,3501
1002191,3502
1002192,3503
1002193,3504
1002194,3505
1002195,3506
1002196,3507
1002197,3508
1002198,3509
1002199,3510
1002200,3511
1002201,3512
1002202,3513
1002203,3514
1002204,3515
1002205,3516
1002206,3517
1002207,3518
1002208,3519
1002209,3520
1002210,3521
1002211,3522
1002212,3523
1002213,3524
1002214,3525
1002215,3526
1002216,3527
1002217,2368
1002218,3528
1002219,2199
1002220,3529
1002221,3530
1002222,2186
1002223,3531
1002224,3532
1002225,3533
1002226,3534
1002227,2330
1002228,3535
1002229,3536
1002230,3537
1002231,3538
1002232,3539
1002233,3540
1002234,3541
1002235,3542
1002236,3543
1002237,2369
1002238,3544
1002239,2200
1002240,3545
1002241,3546
1002242,3547
1002243,3548
1002244,2331
1002245,3549
1002246,2256
1002247,3550
1002248,2332
1002249,2333
1002250,3551
1002251,2370
1002252,3552
1002253,2371
1002254,3553
1002255,2372
1002256,2373
1002257,3554
1002258,3555
1002259,2334
1002260,3556
10022600,37360
1002261,3557
1002262,3558
1002263,3559
1002264,3560
1002265,3561
1002266,3562
1002267,3563
1002268,3564
1002269,3565
1002270,3566
1002271,3567
1002272,3568
1002273,3569
1002274,3570
1002275,3571
1002276,3572
1002277,3573
1002278,3574
1002279,3575
1002280,3576
1002281,3577
1002282,3578
1002283,3579
1002284,3580
1002285,3581
1002286,3582
1002287,3583
1002288,3584
1002289,3585
1002290,3586
1002291,3587
1002292,3588
1002293,3589
1002294,3590
1002295,3591
1002296,3592
1002297,3593
1002298,3594
1002299,3595
1002300,3596
1002301,3597
1002302,3598
1002303,3599
1002304,3600
1002305,3601
1002306,3602
1002307,3603
1002308,3604
1002309,3605
1002310,3606
1002311,3607
1002312,3608
1002313,3609
1002314,3610
1002315,3611
1002316,3612
1002317,3613
1002318,3614
1002319,3615
1002320,3616
1002321,3617
1002322,3618
1002323,3619
1002324,3620
1002325,3621
1002326,3622
1002327,2218
1002328,3623
1002329,3624
1002330,3625
1002331,3626
1002332,3627
1002333,3628
1002334,3629
1002335,3630
1002336,3631
1002337,3632
1002338,3633
1002339,3634
1002340,3635
1002341,3636
1002342,3637
1002343,3638
1002344,3639
1002345,2201
1002346,2335
1002347,3640
1002348,3641
1002349,3642
1002350,2202
1002351,3643
1002352,3644
1002353,3645
1002354,2269
1002355,3646
1002356,3647
1002357,3648
1002358,3649
1002359,3650
1002360,2374
1002361,3651
1002362,3652
1002363,3653
1002364,3654
1002365,3655
1002366,3656
1002367,3657
1002368,3658
1002369,1037
1002370,2236
1002371,3659
1002372,3660
1002373,3661
1002374,3662
1002375,3663
1002376,3664
1002377,3665
1002378,3666
1002379,3667
1002380,3668
1002381,3669
1002382,3670
1002383,3671
1002384,3672
1002385,3673
1002386,3674
1002387,3675
1002388,3676
1002389,3677
1002390,3678
1002391,3679
1002392,3680
1002393,1036
1002394,3681
1002395,3682
1002396,2375
1002397,3683
1002398,3684
1002399,3685
1002400,3686
1002401,3687
1002402,3688
1002403,2232
1002404,2203
1002405,3689
1002406,3690
1002407,3691
1002408,3692
1002409,3693
1002410,2204
1002411,3694
1002412,3695
1002413,3696
1002414,3697
1002415,3698
1002416,3699
1002417,3700
1002418,3701
1002419,3702
1002420,3703
1002421,3704
1002422,3705
1002423,3706
1002424,3707
1002425,3708
1002426,2219
1002427,3709
1002428,3710
1002429,3711
1002430,3712
1002431,3713
1002432,2235
1002433,3714
1002434,3715
1002435,3716
1002436,3717
1002437,3718
1002438,3719
1002439,2205
1002440,3720
1002441,3721
1002442,3722
1002443,3723
1002444,3724
1002445,2324
1002446,3725
1002447,3726
1002448,3727
1002449,3728
1002450,3729
1002451,3730
1002452,3731
1002453,3732
1002454,3733
1002455,3734
1002456,3735
1002457,3736
1002458,3737
1002459,3738
1002460,3739
1002461,3740
1002462,3741
1002463,3742
1002464,2356
1002465,3743
1002466,3744
1002467,3745
1002468,3746
1002469,3747
1002470,2357
1002471,3748
1002472,3749
1002473,3750
1002474,3751
1002475,3752
1002476,3753
1002477,3754
1002478,3755
1002479,3756
1002480,3757
1002481,3758
1002482,3759
1002483,3760
1002484,3761
1002485,3762
1002486,3763
1002487,3764
1002488,3765
1002489,3766
1002490,3767
1002491,3768
1002492,3769
1002493,3770
1002494,3771
1002495,3772
1002496,3773
1002497,3774
1002498,3775
1002499,3776
1002500,3777
1002501,2283
1002502,2284
1002503,3778
1002504,3779
1002505,3780
1002506,3781
1002507,3782
1002508,3783
1002509,3784
1002510,3785
1002511,3786
1002512,3787
1002513,3788
1002514,3789
1002515,3790
1002516,3791
1002517,1030
1002518,3792
1002519,3793
1002520,3794
1002521,3795
1002522,3796
1002523,3797
1002524,3798
1002525,3799
1002526,3800
1002527,3801
1002528,3802
1002529,3803
1002530,3804
1002531,3805
1002532,3806
1002533,3807
